home_team_name,home_team_id,home_team_score,away_team_name,away_team_id,away_team_score,game_url,date,id,home_efg,home_tov,home_orb,home_ortg,home_pace,away_efg,away_tov,away_orb,away_ortg,away_pace
Toronto Raptors,TOR,130,New Orleans Pelicans,NOP,122,/boxscores/201910220TOR.html,2019-10-22,1,.476,11.8,30.2,115.2,102.2,.515,14.6,28.1,108.1,102.2
Los Angeles Clippers,LAC,112,Los Angeles Lakers,LAL,102,/boxscores/201910220LAC.html,2019-10-22,2,.586,13.3,25.6,117.5,95.3,.512,12.9,20.9,107.0,95.3
Charlotte Hornets,CHO,126,Chicago Bulls,CHI,125,/boxscores/201910230CHO.html,2019-10-23,3,.642,16.7,23.7,124.0,101.6,.510,8.0,38.5,123.0,101.6
Indiana Pacers,IND,110,Detroit Pistons,DET,119,/boxscores/201910230IND.html,2019-10-23,4,.506,13.1,22.2,109.8,100.2,.596,16.3,27.8,118.8,100.2
Orlando Magic,ORL,94,Cleveland Cavaliers,CLE,85,/boxscores/201910230ORL.html,2019-10-23,5,.483,12.1,13.7,95.2,98.7,.426,14.5,20.4,86.1,98.7
Brooklyn Nets,BRK,126,Minnesota Timberwolves,MIN,127,/boxscores/201910230BRK.html,2019-10-23,6,.550,12.5,20.0,108.5,105.2,.486,9.8,24.0,109.3,105.2
Miami Heat,MIA,120,Memphis Grizzlies,MEM,101,/boxscores/201910230MIA.html,2019-10-23,7,.512,17.1,26.2,107.2,112.0,.455,19.0,18.4,90.2,112.0
Philadelphia 76ers,PHI,107,Boston Celtics,BOS,93,/boxscores/201910230PHI.html,2019-10-23,8,.476,12.9,27.9,105.2,101.8,.406,8.7,16.7,91.4,101.8
Dallas Mavericks,DAL,108,Washington Wizards,WAS,100,/boxscores/201910230DAL.html,2019-10-23,9,.533,17.3,12.2,104.2,103.7,.457,14.4,21.2,96.4,103.7
San Antonio Spurs,SAS,120,New York Knicks,NYK,111,/boxscores/201910230SAS.html,2019-10-23,10,.548,17.5,22.7,110.2,108.9,.521,12.1,10.9,101.9,108.9
Utah Jazz,UTA,100,Oklahoma City Thunder,OKC,95,/boxscores/201910230UTA.html,2019-10-23,11,.478,10.0,21.2,101.2,98.8,.446,11.9,15.6,96.2,98.8
Phoenix Suns,PHO,124,Sacramento Kings,SAC,95,/boxscores/201910230PHO.html,2019-10-23,12,.556,11.7,20.5,114.1,108.7,.448,20.9,25.5,87.4,108.7
Portland Trail Blazers,POR,100,Denver Nuggets,DEN,108,/boxscores/201910230POR.html,2019-10-23,13,.454,17.1,27.7,100.1,99.9,.531,17.0,23.9,108.1,99.9
Detroit Pistons,DET,100,Atlanta Hawks,ATL,117,/boxscores/201910240DET.html,2019-10-24,14,.471,12.1,20.9,103.3,96.8,.576,12.0,21.1,120.9,96.8
Houston Rockets,HOU,111,Milwaukee Bucks,MIL,117,/boxscores/201910240HOU.html,2019-10-24,15,.456,11.6,17.5,101.1,109.8,.545,9.3,11.3,106.5,109.8
Golden State Warriors,GSW,122,Los Angeles Clippers,LAC,141,/boxscores/201910240GSW.html,2019-10-24,16,.470,10.4,29.4,115.7,105.5,.738,15.4,10.0,133.7,105.5
Boston Celtics,BOS,112,Toronto Raptors,TOR,106,/boxscores/201910250BOS.html,2019-10-25,17,.445,7.2,33.9,110.7,101.2,.590,21.2,12.5,104.7,101.2
Charlotte Hornets,CHO,99,Minnesota Timberwolves,MIN,121,/boxscores/201910250CHO.html,2019-10-25,18,.512,16.6,18.8,95.3,103.9,.538,12.5,28.3,116.4,103.9
Brooklyn Nets,BRK,113,New York Knicks,NYK,109,/boxscores/201910250BRK.html,2019-10-25,19,.577,21.9,26.8,105.3,107.3,.574,21.8,20.5,101.6,107.3
Memphis Grizzlies,MEM,102,Chicago Bulls,CHI,110,/boxscores/201910250MEM.html,2019-10-25,20,.468,14.9,29.4,98.0,104.0,.495,11.2,18.0,105.7,104.0
New Orleans Pelicans,NOP,116,Dallas Mavericks,DAL,123,/boxscores/201910250NOP.html,2019-10-25,21,.536,11.8,24.5,112.8,102.8,.559,9.5,25.0,119.6,102.8
Oklahoma City Thunder,OKC,85,Washington Wizards,WAS,97,/boxscores/201910250OKC.html,2019-10-25,22,.428,16.3,15.2,81.8,103.9,.459,12.9,16.0,93.4,103.9
Denver Nuggets,DEN,108,Phoenix Suns,PHO,107,/boxscores/201910250DEN.html,2019-10-25,23,.429,11.5,15.4,100.4,97.4,.442,14.5,21.3,99.5,97.4
Sacramento Kings,SAC,112,Portland Trail Blazers,POR,122,/boxscores/201910250SAC.html,2019-10-25,24,.511,14.7,27.1,109.7,102.1,.606,14.5,14.3,119.5,102.1
Los Angeles Lakers,LAL,95,Utah Jazz,UTA,86,/boxscores/201910250LAL.html,2019-10-25,25,.442,12.7,22.9,98.3,96.7,.471,21.7,8.8,88.9,96.7
Milwaukee Bucks,MIL,126,Miami Heat,MIA,131,/boxscores/201910260MIL.html,2019-10-26,26,.527,14.1,9.8,104.0,109.8,.535,12.0,16.0,108.1,109.8
Detroit Pistons,DET,111,Philadelphia 76ers,PHI,117,/boxscores/201910260DET.html,2019-10-26,27,.592,20.0,13.5,100.3,110.7,.557,18.0,16.7,105.7,110.7
Atlanta Hawks,ATL,103,Orlando Magic,ORL,99,/boxscores/201910260ATL.html,2019-10-26,28,.565,16.6,23.7,104.2,98.8,.379,8.3,28.3,100.2,98.8
New York Knicks,NYK,95,Boston Celtics,BOS,118,/boxscores/201910260NYK.html,2019-10-26,29,.421,19.2,32.7,93.3,101.9,.532,10.2,25.0,115.8,101.9
Chicago Bulls,CHI,84,Toronto Raptors,TOR,108,/boxscores/201910260CHI.html,2019-10-26,30,.345,12.2,19.7,80.8,104.0,.555,19.7,23.3,103.9,104.0
Cleveland Cavaliers,CLE,110,Indiana Pacers,IND,99,/boxscores/201910260CLE.html,2019-10-26,31,.569,16.3,28.6,110.9,99.2,.506,15.5,15.8,99.8,99.2
Houston Rockets,HOU,126,New Orleans Pelicans,NOP,123,/boxscores/201910260HOU.html,2019-10-26,32,.527,15.1,21.4,111.9,112.6,.550,13.7,20.0,109.3,112.6
San Antonio Spurs,SAS,124,Washington Wizards,WAS,122,/boxscores/201910260SAS.html,2019-10-26,33,.509,7.2,38.9,122.1,101.6,.579,10.5,20.0,120.1,101.6
Utah Jazz,UTA,113,Sacramento Kings,SAC,81,/boxscores/201910260UTA.html,2019-10-26,34,.679,20.1,7.4,113.6,99.5,.414,16.1,12.8,81.4,99.5
Phoenix Suns,PHO,130,Los Angeles Clippers,LAC,122,/boxscores/201910260PHO.html,2019-10-26,35,.599,13.7,22.5,123.9,104.9,.523,10.3,20.0,116.3,104.9
Oklahoma City Thunder,OKC,120,Golden State Warriors,GSW,92,/boxscores/201910270OKC.html,2019-10-27,36,.660,20.8,22.9,117.0,102.6,.353,11.7,22.2,89.7,102.6
Memphis Grizzlies,MEM,134,Brooklyn Nets,BRK,133,/boxscores/201910270MEM.html,2019-10-27,37,.553,9.5,16.0,113.6,106.8,.510,12.7,21.2,112.8,106.8
Dallas Mavericks,DAL,119,Portland Trail Blazers,POR,121,/boxscores/201910270DAL.html,2019-10-27,38,.463,8.9,22.6,111.6,106.7,.569,14.0,17.1,113.4,106.7
Minnesota Timberwolves,MIN,116,Miami Heat,MIA,109,/boxscores/201910270MIN.html,2019-10-27,39,.500,13.2,29.2,111.7,103.9,.582,18.7,17.9,105.0,103.9
Los Angeles Lakers,LAL,120,Charlotte Hornets,CHO,101,/boxscores/201910270LAL.html,2019-10-27,40,.586,11.6,23.8,120.6,99.5,.440,12.2,26.0,101.5,99.5
New York Knicks,NYK,105,Chicago Bulls,CHI,98,/boxscores/201910280NYK.html,2019-10-28,41,.467,13.9,45.5,111.5,94.2,.476,8.7,17.4,104.1,94.2
Detroit Pistons,DET,96,Indiana Pacers,IND,94,/boxscores/201910280DET.html,2019-10-28,42,.537,19.0,22.0,103.1,93.1,.447,6.6,25.0,101.0,93.1
Toronto Raptors,TOR,104,Orlando Magic,ORL,95,/boxscores/201910280TOR.html,2019-10-28,43,.447,14.0,13.3,99.5,104.5,.449,14.2,14.8,90.9,104.5
Atlanta Hawks,ATL,103,Philadelphia 76ers,PHI,105,/boxscores/201910280ATL.html,2019-10-28,44,.482,17.6,17.8,96.1,107.2,.483,17.5,24.5,98.0,107.2
Houston Rockets,HOU,116,Oklahoma City Thunder,OKC,112,/boxscores/201910280HOU.html,2019-10-28,45,.489,11.8,20.0,114.0,101.8,.505,11.1,34.0,110.0,101.8
Milwaukee Bucks,MIL,129,Cleveland Cavaliers,CLE,112,/boxscores/201910280MIL.html,2019-10-28,46,.614,10.5,17.4,122.9,104.9,.510,9.5,19.2,106.7,104.9
New Orleans Pelicans,NOP,123,Golden State Warriors,GSW,134,/boxscores/201910280NOP.html,2019-10-28,47,.539,11.7,20.8,109.7,112.1,.558,13.6,38.8,119.5,112.1
San Antonio Spurs,SAS,113,Portland Trail Blazers,POR,110,/boxscores/201910280SAS.html,2019-10-28,48,.524,15.4,14.9,103.5,109.1,.440,8.2,17.3,100.8,109.1
Phoenix Suns,PHO,95,Utah Jazz,UTA,96,/boxscores/201910280PHO.html,2019-10-28,49,.494,15.1,6.5,92.7,102.5,.451,20.7,14.0,93.7,102.5
Sacramento Kings,SAC,94,Denver Nuggets,DEN,101,/boxscores/201910280SAC.html,2019-10-28,50,.462,10.9,30.0,102.2,92.0,.418,8.5,36.5,109.8,92.0
Los Angeles Clippers,LAC,111,Charlotte Hornets,CHO,96,/boxscores/201910280LAC.html,2019-10-28,51,.554,18.5,23.7,110.5,100.4,.518,19.1,20.5,95.6,100.4
Miami Heat,MIA,112,Atlanta Hawks,ATL,97,/boxscores/201910290MIA.html,2019-10-29,52,.541,21.9,35.1,109.6,102.1,.488,17.6,20.0,95.0,102.1
Denver Nuggets,DEN,106,Dallas Mavericks,DAL,109,/boxscores/201910290DEN.html,2019-10-29,53,.533,9.4,30.4,116.4,91.1,.565,7.8,21.7,119.7,91.1
Los Angeles Lakers,LAL,120,Memphis Grizzlies,MEM,91,/boxscores/201910290LAL.html,2019-10-29,54,.506,14.9,23.3,110.2,108.9,.363,16.7,22.8,83.6,108.9
Cleveland Cavaliers,CLE,117,Chicago Bulls,CHI,111,/boxscores/201910300CLE.html,2019-10-30,55,.590,15.6,30.3,123.2,95.0,.511,5.7,19.6,116.9,95.0
Orlando Magic,ORL,95,New York Knicks,NYK,83,/boxscores/201910300ORL.html,2019-10-30,56,.489,7.0,29.2,109.5,86.8,.421,10.8,20.8,95.7,86.8
Philadelphia 76ers,PHI,117,Minnesota Timberwolves,MIN,95,/boxscores/201910300PHI.html,2019-10-30,57,.516,17.4,36.4,110.1,106.2,.457,18.4,13.0,89.4,106.2
Boston Celtics,BOS,116,Milwaukee Bucks,MIL,105,/boxscores/201910300BOS.html,2019-10-30,58,.538,8.2,11.1,113.3,102.4,.549,13.9,11.1,102.6,102.4
Brooklyn Nets,BRK,108,Indiana Pacers,IND,118,/boxscores/201910300BRK.html,2019-10-30,59,.495,15.4,37.5,107.1,100.9,.526,7.9,23.4,117.0,100.9
Toronto Raptors,TOR,125,Detroit Pistons,DET,113,/boxscores/201910300TOR.html,2019-10-30,60,.669,13.3,8.8,121.6,102.8,.545,16.9,26.2,110.0,102.8
Oklahoma City Thunder,OKC,99,Portland Trail Blazers,POR,102,/boxscores/201910300OKC.html,2019-10-30,61,.417,15.2,24.5,96.0,103.1,.494,15.0,17.6,98.9,103.1
Washington Wizards,WAS,158,Houston Rockets,HOU,159,/boxscores/201910300WAS.html,2019-10-30,62,.736,15.5,30.6,144.1,109.7,.646,10.0,39.6,145.0,109.7
Sacramento Kings,SAC,111,Charlotte Hornets,CHO,118,/boxscores/201910300SAC.html,2019-10-30,63,.531,12.9,21.7,109.4,101.4,.643,18.2,25.6,116.3,101.4
Utah Jazz,UTA,110,Los Angeles Clippers,LAC,96,/boxscores/201910300UTA.html,2019-10-30,64,.619,13.9,9.1,112.5,97.8,.524,17.9,15.4,98.1,97.8
Golden State Warriors,GSW,110,Phoenix Suns,PHO,121,/boxscores/201910300GSW.html,2019-10-30,65,.488,15.5,17.9,104.2,105.6,.536,13.2,26.5,114.6,105.6
Atlanta Hawks,ATL,97,Miami Heat,MIA,106,/boxscores/201910310ATL.html,2019-10-31,66,.449,13.9,33.3,101.8,95.3,.560,12.3,20.9,111.2,95.3
New Orleans Pelicans,NOP,122,Denver Nuggets,DEN,107,/boxscores/201910310NOP.html,2019-10-31,67,.630,14.1,6.3,118.7,102.8,.522,12.7,12.5,104.1,102.8
Los Angeles Clippers,LAC,103,San Antonio Spurs,SAS,97,/boxscores/201910310LAC.html,2019-10-31,68,.456,9.7,21.6,102.4,100.6,.494,17.1,20.0,96.4,100.6
Brooklyn Nets,BRK,123,Houston Rockets,HOU,116,/boxscores/201911010BRK.html,2019-11-01,69,.606,17.0,24.4,113.7,108.2,.475,9.8,16.7,107.2,108.2
Indiana Pacers,IND,102,Cleveland Cavaliers,CLE,95,/boxscores/201911010IND.html,2019-11-01,70,.432,11.0,23.6,96.1,106.2,.431,14.0,6.3,89.5,106.2
Orlando Magic,ORL,91,Milwaukee Bucks,MIL,123,/boxscores/201911010ORL.html,2019-11-01,71,.440,14.0,17.5,89.6,101.5,.597,11.4,26.8,121.1,101.5
Boston Celtics,BOS,104,New York Knicks,NYK,102,/boxscores/201911010BOS.html,2019-11-01,72,.520,13.9,7.9,107.4,96.9,.473,11.3,28.1,105.3,96.9
Chicago Bulls,CHI,112,Detroit Pistons,DET,106,/boxscores/201911010CHI.html,2019-11-01,73,.528,14.6,22.9,110.9,101.0,.518,14.3,24.4,104.9,101.0
Dallas Mavericks,DAL,110,Los Angeles Lakers,LAL,119,/boxscores/201911010DAL.html,2019-11-01,74,.461,16.4,34.0,100.2,99.5,.536,9.5,12.2,108.4,99.5
Sacramento Kings,SAC,102,Utah Jazz,UTA,101,/boxscores/201911010SAC.html,2019-11-01,75,.536,14.9,26.8,108.6,93.9,.555,16.7,18.2,107.5,93.9
Golden State Warriors,GSW,110,San Antonio Spurs,SAS,127,/boxscores/201911010GSW.html,2019-11-01,76,.542,10.6,16.3,113.4,97.0,.543,9.4,33.3,130.9,97.0
Oklahoma City Thunder,OKC,115,New Orleans Pelicans,NOP,104,/boxscores/201911020OKC.html,2019-11-02,77,.539,10.7,17.0,113.6,101.3,.484,13.4,32.1,102.7,101.3
Detroit Pistons,DET,113,Brooklyn Nets,BRK,109,/boxscores/201911020DET.html,2019-11-02,78,.495,7.2,11.6,109.4,103.3,.516,12.2,21.7,105.5,103.3
Orlando Magic,ORL,87,Denver Nuggets,DEN,91,/boxscores/201911020ORL.html,2019-11-02,79,.465,14.2,22.7,92.9,93.6,.432,12.6,15.9,97.2,93.6
Memphis Grizzlies,MEM,105,Phoenix Suns,PHO,114,/boxscores/201911020MEM.html,2019-11-02,80,.541,17.5,31.7,102.4,102.5,.580,15.2,10.8,111.2,102.5
Milwaukee Bucks,MIL,115,Toronto Raptors,TOR,105,/boxscores/201911020MIL.html,2019-11-02,81,.534,9.9,22.2,116.3,98.9,.494,12.0,14.6,106.2,98.9
Washington Wizards,WAS,109,Minnesota Timberwolves,MIN,131,/boxscores/201911020WAS.html,2019-11-02,82,.453,13.7,15.4,94.4,115.5,.633,17.1,8.8,113.4,115.5
Golden State Warriors,GSW,87,Charlotte Hornets,CHO,93,/boxscores/201911020GSW.html,2019-11-02,83,.500,17.9,13.5,94.7,91.9,.453,11.2,31.4,101.2,91.9
Portland Trail Blazers,POR,128,Philadelphia 76ers,PHI,129,/boxscores/201911020POR.html,2019-11-02,84,.699,16.8,10.8,122.7,104.3,.556,8.9,28.9,123.7,104.3
Indiana Pacers,IND,108,Chicago Bulls,CHI,95,/boxscores/201911030IND.html,2019-11-03,85,.518,14.2,21.7,104.6,103.2,.482,15.9,13.3,92.0,103.2
Miami Heat,MIA,129,Houston Rockets,HOU,100,/boxscores/201911030MIA.html,2019-11-03,86,.629,13.2,12.8,119.5,107.9,.481,19.2,8.9,92.6,107.9
New York Knicks,NYK,92,Sacramento Kings,SAC,113,/boxscores/201911030NYK.html,2019-11-03,87,.450,12.2,18.4,95.4,96.4,.571,12.7,25.6,117.2,96.4
San Antonio Spurs,SAS,96,Los Angeles Lakers,LAL,103,/boxscores/201911030SAS.html,2019-11-03,88,.434,15.1,17.0,92.4,103.9,.517,15.9,15.2,99.1,103.9
Cleveland Cavaliers,CLE,111,Dallas Mavericks,DAL,131,/boxscores/201911030CLE.html,2019-11-03,89,.500,7.8,23.1,111.6,99.5,.638,11.5,27.5,131.7,99.5
Los Angeles Clippers,LAC,105,Utah Jazz,UTA,94,/boxscores/201911030LAC.html,2019-11-03,90,.429,7.8,36.7,110.6,94.9,.462,13.3,14.3,99.0,94.9
Washington Wizards,WAS,115,Detroit Pistons,DET,99,/boxscores/201911040WAS.html,2019-11-04,91,.505,9.6,31.0,120.2,95.7,.494,17.1,31.7,103.5,95.7
Brooklyn Nets,BRK,135,New Orleans Pelicans,NOP,125,/boxscores/201911040BRK.html,2019-11-04,92,.620,18.1,29.3,119.0,113.5,.562,16.5,23.3,110.2,113.5
Memphis Grizzlies,MEM,100,Houston Rockets,HOU,107,/boxscores/201911040MEM.html,2019-11-04,93,.441,11.9,26.0,96.5,103.6,.468,14.5,26.9,103.2,103.6
Minnesota Timberwolves,MIN,106,Milwaukee Bucks,MIL,134,/boxscores/201911040MIN.html,2019-11-04,94,.422,11.7,22.0,95.5,111.0,.613,13.8,24.4,120.7,111.0
Phoenix Suns,PHO,114,Philadelphia 76ers,PHI,109,/boxscores/201911040PHO.html,2019-11-04,95,.604,17.6,14.7,109.7,103.9,.545,17.0,20.5,104.9,103.9
Golden State Warriors,GSW,127,Portland Trail Blazers,POR,118,/boxscores/201911040GSW.html,2019-11-04,96,.547,8.9,22.2,128.0,99.2,.510,5.1,29.1,118.9,99.2
Charlotte Hornets,CHO,122,Indiana Pacers,IND,120,/boxscores/201911050CHO.html,2019-11-05,97,.534,10.9,21.7,114.9,96.2,.606,15.6,20.6,113.0,96.2
Cleveland Cavaliers,CLE,113,Boston Celtics,BOS,119,/boxscores/201911050CLE.html,2019-11-05,98,.489,7.9,21.2,112.5,100.5,.635,13.3,11.1,118.4,100.5
Atlanta Hawks,ATL,108,San Antonio Spurs,SAS,100,/boxscores/201911050ATL.html,2019-11-05,99,.539,15.6,23.1,105.1,102.8,.462,12.9,22.0,97.3,102.8
Chicago Bulls,CHI,112,Los Angeles Lakers,LAL,118,/boxscores/201911050CHI.html,2019-11-05,100,.588,14.4,15.9,108.3,103.4,.549,12.8,25.5,114.1,103.4
Oklahoma City Thunder,OKC,102,Orlando Magic,ORL,94,/boxscores/201911050OKC.html,2019-11-05,101,.500,8.7,15.9,110.4,92.4,.409,12.8,34.0,101.7,92.4
Denver Nuggets,DEN,109,Miami Heat,MIA,89,/boxscores/201911050DEN.html,2019-11-05,102,.576,17.0,22.5,110.5,98.6,.415,11.6,25.5,90.2,98.6
Detroit Pistons,DET,122,New York Knicks,NYK,102,/boxscores/201911060DET.html,2019-11-06,103,.652,15.2,24.2,127.5,95.7,.556,12.7,12.5,106.6,95.7
Indiana Pacers,IND,121,Washington Wizards,WAS,106,/boxscores/201911060IND.html,2019-11-06,104,.532,11.0,28.9,120.4,100.5,.458,13.4,31.4,105.4,100.5
Atlanta Hawks,ATL,93,Chicago Bulls,CHI,113,/boxscores/201911060ATL.html,2019-11-06,105,.446,21.2,14.3,89.5,103.9,.579,15.3,16.7,108.8,103.9
Houston Rockets,HOU,129,Golden State Warriors,GSW,112,/boxscores/201911060HOU.html,2019-11-06,106,.603,10.2,23.9,127.0,101.6,.464,8.5,29.1,110.2,101.6
Toronto Raptors,TOR,124,Sacramento Kings,SAC,120,/boxscores/201911060TOR.html,2019-11-06,107,.641,13.4,6.1,121.4,102.1,.547,11.8,25.5,117.5,102.1
Memphis Grizzlies,MEM,137,Minnesota Timberwolves,MIN,121,/boxscores/201911060MEM.html,2019-11-06,108,.636,14.4,23.5,128.2,106.9,.531,9.3,19.6,113.2,106.9
Dallas Mavericks,DAL,107,Orlando Magic,ORL,106,/boxscores/201911060DAL.html,2019-11-06,109,.494,14.9,26.1,108.0,99.1,.525,16.3,24.4,107.0,99.1
