player_name,player_id,fga,ast,reb,opp_team_id,usg,ast_pct,reb_pct
Jrue Holiday,holidjr01,15,6,4,TOR,20.8,22.0,4.7
Brandon Ingram,ingrabr01,19,5,5,TOR,26.5,24.4,6.9
J.J. Redick,redicjj01,9,1,2,TOR,18.1,6.3,3.6
Lonzo Ball,balllo01,7,5,5,TOR,14.6,27.6,9.7
Derrick Favors,favorde01,6,2,7,TOR,13.8,14.4,16.2
Josh Hart,hartjo01,9,1,10,TOR,17.0,5.3,17.1
Nicolò Melli,mellini01,7,2,5,TOR,18.7,18.3,12.3
Kenrich Williams,willike04,4,3,6,TOR,14.3,20.5,16.0
Frank Jackson,jacksfr01,6,1,0,TOR,23.2,12.1,0.0
Jahlil Okafor,okafoja01,3,0,2,TOR,17.4,0.0,7.7
E'Twaun Moore,mooreet01,7,2,3,TOR,23.6,25.6,11.9
Nickeil Alexander-Walker,alexani01,10,2,4,TOR,37.7,23.1,16.2
Kyle Lowry,lowryky01,15,6,5,NOP,21.5,19.0,5.4
Fred VanVleet,vanvlfr01,18,7,5,NOP,19.9,30.2,5.4
Pascal Siakam,siakapa01,26,5,18,NOP,35.7,26.0,22.7
OG Anunoby,anunoog01,12,0,7,NOP,14.7,0.0,9.4
Marc Gasol,gasolma01,9,1,4,NOP,11.6,4.3,6.0
Norman Powell,powelno01,7,2,8,NOP,12.3,9.7,13.5
Serge Ibaka,ibakase01,10,0,5,NOP,23.5,0.0,9.3
Terence Davis,daviste02,6,2,5,NOP,15.4,20.0,15.9
Anthony Davis,davisan02,21,5,9,LAC,35.8,24.0,13.4
LeBron James,jamesle01,19,8,10,LAC,31.7,38.6,15.5
Danny Green,greenda02,14,0,7,LAC,19.8,0.0,12.1
Avery Bradley,bradlav01,7,0,3,LAC,16.6,0.0,7.0
JaVale McGee,mcgeeja01,3,0,2,LAC,10.2,0.0,6.4
Kentavious Caldwell-Pope,caldwke01,3,3,3,LAC,6.5,14.2,6.1
Dwight Howard,howardw01,3,1,6,LAC,8.0,7.3,17.6
Quinn Cook,cookqu01,7,2,1,LAC,21.0,18.1,3.3
Troy Daniels,danietr01,6,1,0,LAC,20.3,9.5,0.0
Jared Dudley,dudleja01,2,0,0,LAC,6.6,0.0,0.0
Kawhi Leonard,leonaka01,19,5,6,LAL,42.4,28.4,10.6
Patrick Beverley,beverpa01,7,6,10,LAL,13.0,22.7,17.8
Landry Shamet,shamela01,8,2,3,LAL,13.8,9.9,6.3
Patrick Patterson,pattepa01,3,0,3,LAL,10.1,0.0,9.6
Ivica Zubac,zubaciv01,4,0,1,LAL,18.9,0.0,5.8
Montrezl Harrell,harremo01,11,4,7,LAL,20.8,15.1,10.2
Lou Williams,willilo02,14,7,5,LAL,22.0,29.0,7.6
Maurice Harkless,harklma01,7,0,4,LAL,10.9,0.0,7.7
JaMychal Green,greenja01,8,0,6,LAL,21.2,0.0,17.4
Lauri Markkanen,markkla01,25,2,17,CHO,34.1,9.1,26.4
Zach LaVine,lavinza01,17,7,6,CHO,28.8,29.6,10.7
Wendell Carter,cartewe01,11,0,9,CHO,16.9,0.0,16.3
Otto Porter,porteot01,10,1,2,CHO,15.1,4.0,3.8
Tomáš Satoranský,satorto01,5,3,0,CHO,7.9,12.6,0.0
Coby White,whiteco01,13,7,3,CHO,23.0,32.2,5.9
Thaddeus Young,youngth01,11,2,3,CHO,18.2,10.6,6.3
Kris Dunn,dunnkr01,7,2,2,CHO,12.7,10.3,4.5
Ryan Arcidiacono,arcidry01,3,1,3,CHO,10.6,10.9,14.6
Luke Kornet,kornelu01,3,0,4,CHO,22.6,0.0,31.3
P.J. Washington,washipj01,17,1,4,CHI,24.5,3.8,5.7
Cody Zeller,zelleco01,11,1,12,CHI,16.5,3.7,18.2
Dwayne Bacon,bacondw01,21,3,5,CHI,32.6,13.0,8.1
Miles Bridges,bridgmi02,7,3,5,CHI,13.3,11.7,8.4
Terry Rozier,roziete01,10,6,4,CHI,20.0,22.6,7.0
Devonte' Graham,grahade01,9,8,4,CHI,17.4,43.0,7.8
Marvin Williams,willima02,9,1,2,CHI,22.4,10.2,6.3
Malik Monk,monkma01,4,3,1,CHI,15.1,23.7,3.2
Nicolas Batum,batumni01,0,2,4,CHI,7.5,19.0,19.0
Andre Drummond,drumman01,18,2,23,IND,26.0,8.8,33.4
Tony Snell,snellto01,7,2,2,IND,10.9,8.6,3.7
Bruce Brown,brownbr01,6,4,4,IND,14.9,18.5,8.2
Markieff Morris,morrima02,11,2,3,IND,26.7,12.3,7.9
Reggie Jackson,jacksre01,3,5,1,IND,8.5,32.5,2.9
Luke Kennard,kennalu01,13,2,3,IND,28.5,12.5,6.3
Derrick Rose,rosede01,11,9,3,IND,29.5,53.9,6.7
Langston Galloway,gallola01,4,0,4,IND,15.2,0.0,11.8
Thon Maker,makerth01,4,0,2,IND,13.3,0.0,7.4
Christian Wood,woodch01,0,0,0,IND,11.3,0.0,0.0
Tim Frazier,fraziti01,1,0,0,IND,40.7,0.0,0.0
Myles Turner,turnemy01,15,0,9,DET,22.4,0.0,14.0
Malcolm Brogdon,brogdma01,13,11,3,DET,23.2,42.9,5.0
Domantas Sabonis,sabondo01,15,2,13,DET,22.5,10.3,21.6
T.J. Warren,warretj01,12,0,1,DET,17.3,0.0,1.8
Jeremy Lamb,lambje01,11,3,4,DET,23.2,16.6,9.2
Edmond Sumner,sumneed01,6,2,1,DET,13.4,12.7,2.7
Justin Holiday,holidju01,2,2,0,DET,5.8,16.1,0.0
T.J. McConnell,mccontj01,4,3,3,DET,15.6,31.7,13.3
Doug McDermott,mcderdo01,4,1,0,DET,19.0,13.5,0.0
Aaron Holiday,holidaa01,6,2,1,DET,43.6,34.8,8.8
T.J. Leaf,leaftj01,1,0,1,DET,12.4,0.0,17.6
Kevin Love,loveke01,9,3,18,ORL,15.4,14.5,24.0
Tristan Thompson,thomptr01,11,1,11,ORL,15.7,6.7,15.9
Darius Garland,garlada01,9,5,2,ORL,16.5,26.8,3.0
Collin Sexton,sextoco01,15,2,2,ORL,28.7,12.9,3.2
Cedi Osman,osmande01,9,2,3,ORL,16.5,13.4,5.0
Larry Nance,nancela02,11,2,14,ORL,25.7,13.9,25.1
Jordan Clarkson,clarkjo01,12,0,2,ORL,33.9,0.0,5.2
Matthew Dellavedova,dellama01,6,3,1,ORL,16.5,28.7,2.7
Kevin Porter,porteke02,6,2,1,ORL,15.2,16.9,2.8
Nikola Vučević,vucevni01,16,3,10,CLE,25.1,16.3,14.0
Aaron Gordon,gordoaa01,8,3,2,CLE,18.0,14.8,3.3
Evan Fournier,fournev01,13,4,3,CLE,26.9,27.3,5.1
D.J. Augustin,augusdj01,9,5,3,CLE,16.4,33.5,5.9
Jonathan Isaac,isaacjo01,3,2,8,CLE,11.0,11.4,16.0
Al-Farouq Aminu,aminual01,5,0,7,CLE,11.9,0.0,11.5
Markelle Fultz,fultzma01,12,6,0,CLE,28.6,49.7,0.0
Terrence Ross,rosste01,13,0,4,CLE,32.2,0.0,9.9
